,English, Odia
Controversy,ବିବାଦୀୟ ବ୍ୟକ୍ତିତ୍ବ 
Psychological resilience,ବ୍ୟବହାରକାରୀ:Soumendrak/ମାନସିକ ଦୃଢ଼ତା
Eligibility,ଖାତା ଖୋଲିବାର ଯୋଗ୍ୟତା
Interest rates,ସୁଧ ହାର
Duration of scheme,ଯୋଜନଟିର ସମୟସୀମା
PPF maturity options,ଯୋଜନଟିର ପରିପକ୍ଵତା ପରେ
Non resident Indians,ପ୍ରବାସୀ ଭାରତୀୟ
PPF tax concessions,ଟିକସ ରିହାତି
Investment and returns,ନିବେଶ ଏବଂ ଲାଭ
Who can join,ଖାତା ଖୋଲିବାର ଯୋଗ୍ୟତା
Subscriber base,ହିତାଧିକାରୀ
Opening an account,ଖାତା କିପରି ଖୋଲିବେ
Online process via eNPS,ଅନଲାଇନ ପ୍ରକ୍ରିୟା
Offline process,ଅଫଲାଇନ ପ୍ରକ୍ରିୟା
Withdrawal,ଟଙ୍କା ବାହାର କରିବା
Tax benefits,ଟିକସରେ ସୁବିଧା
Administrative divisions,ପ୍ରଶାସନିକ ବିଭାଗ
Make in India,ମେକ ଇନ ଇଣ୍ଡିଆ
Events,ଘଟଣାବଳୀ
Make in Odisha conclave 2016,ମେକ ଇନ ଓଡ଼ିଶା ସମ୍ମିଳନୀ ୨୦୧୬
Make in Odisha conclave 2018,ମେକ ଇନ ଓଡ଼ିଶା ସମ୍ମିଳନୀ ୨୦୧୮
Foreign Honours,ବୈଦେଶିକ ସମ୍ମାନ
Key to the City,ସହର ହିସାବରେ ସମ୍ମାନ
